ตำบล,lat,lon
ป่าแฝก,19.3478091,99.8143315
ขุนควร,,
ฝายกวาง,19.5237368,100.302163
ร่มเย็น,,
อ่างทอง,,
ผาช้างน้อย,,
หนองหล่ม,19.0841822,100.0672424
เชียงม่วน,18.9977355,100.2792751
แม่ลาว,,
งิม,19.2573409,100.3660068
บ้านถ้ำ,19.3246827,99.8912693
สบบง,19.5707057,100.2994144
ท่าวังทอง,19.2052125,99.9303967
ควร,,
แม่กา,19.0155652,99.9049092
ภูซาง,,
จำป่าหวาย,19.0273961,99.9948721
ทุ่งรวงทอง,,
น้ำแวน,,
บ้านต๋อม,19.2131499,99.8827336
สระ,,
คือเวียง,,
หย่วน,19.5222618,100.2950176
เจริญราษฎร์,19.3478091,99.8143315
นาปรัง,19.1752844,100.2814238
บ้านมาง,,
ห้วยลาน,19.3103676,100.0324151
บ้านสาง,19.1515306,99.7861291
ทุ่งกล้วย,,
ดอกคำใต้,,
เชียงแรง,,
บ้านเหล่า,19.3478091,99.8143315
ศรีถ้อย,19.3478091,99.8143315
ท่าจำปี,19.2469752,99.8004525
เวียง,19.1693087,99.8990339
บ้านต๊ำ,19.2301489,99.7679187
ดงสุวรรณ,,
ดงเจน,19.2225819,99.9635495
ปง,19.148938,100.2740052
แม่นาเรือ,19.0815277,99.8279755
แม่ปืม,19.3246827,99.8912693
ดอนศรีชุม,,
บุญเกิด,,
บ้านปิน,,
บ้านตุ่น,19.1409346,99.8282933
สว่างอารมณ์,,
สันโค้ง,,
แม่ต๋ำ,19.1381,99.912035
ทุ่งผาสุข,,
เจดีย์คำ,,
ป่าซาง,19.1515306,99.7861291
สันป่าม่วง,19.1735482,99.7544093
ออย,,
เชียงบาน,,
แม่สุก,,
แม่อิง,19.3246827,99.8912693
แม่ใจ,19.3478091,99.8143315
ป่าสัก,19.6120392,100.3381647
แม่ใส,19.1302,99.883915
พระธาตุขิงแกง,,
จุน,19.3091175,100.1647501
ห้วยยางขาม,,
ห้วยข้าวก่ำ,,
ลอ,,
หงส์หิน,19.4804975,100.0989789
