Month,Actual,Predicted
2017-02,1,1.0000943
2017-04,1,1.0000943
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-05,2,2.0000343
2017-05,2,2.0000343
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-05,2,2.0000343
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-05,1,1.0000943
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-06,2,2.0000343
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-06,3,3.0000074
2017-06,1,1.0000943
2017-06,1,1.0000943
2017-07,2,2.0000343
2017-07,1,1.0000943
2017-07,2,2.0000343
2017-07,1,1.0000943
2017-07,1,1.0000943
2017-07,1,1.0000943
2017-07,2,2.0000343
2017-07,1,1.0000943
2017-07,2,2.0000343
2017-07,2,2.0000343
2017-08,1,1.0000943
2017-08,1,1.0000943
2017-08,1,1.0000943
2017-08,1,1.0000943
2017-08,1,1.0000943
2017-08,1,1.0000943
2017-08,1,1.0000943
2017-09,1,1.0000943
2017-09,1,1.0000943
2017-09,1,1.0000943
2017-09,1,1.0000943
2017-09,1,1.0000943
2017-09,1,1.0000943
2017-09,1,1.0000943
2017-09,2,2.0000343
2017-09,1,1.0000943
2017-10,1,1.0000943
2017-10,1,1.0000943
2017-10,1,1.0000943
2017-10,1,1.0000943
2017-10,1,1.0000943
2017-10,1,1.0000943
2017-11,1,1.0000943
2017-12,1,1.0000943
2017-12,1,1.0000943
2017-12,1,1.0000943
2018-04,1,1.0000943
2018-04,2,2.0000343
2018-04,2,2.0000343
2018-05,2,2.0000343
2018-05,1,1.0000943
2018-05,1,1.0000943
2018-05,2,2.0000343
2018-05,1,1.0000943
2018-05,3,3.0000074
2018-05,5,4.9999757
2018-05,4,3.9999979
2018-05,9,8.999813
2018-05,6,5.9999456
2018-05,4,3.9999979
2018-06,2,2.0000343
2018-06,4,3.9999979
2018-06,2,2.0000343
2018-06,3,3.0000074
2018-06,7,6.9998827
2018-06,1,1.0000943
2018-06,2,2.0000343
2018-06,1,1.0000943
2018-06,4,3.9999979
2018-06,3,3.0000074
2018-06,3,3.0000074
2018-06,6,5.9999456
2018-06,2,2.0000343
2018-06,1,1.0000943
2018-06,4,3.9999979
2018-06,1,1.0000943
2018-06,1,1.0000943
2018-06,1,1.0000943
2018-06,5,4.9999757
2018-06,3,3.0000074
2018-06,2,2.0000343
2018-06,4,3.9999979
2018-06,1,1.0000943
2018-06,4,3.9999979
2018-07,4,3.9999979
2018-07,8,7.9998355
2018-07,4,3.9999979
2018-07,2,2.0000343
2018-07,4,3.9999979
2018-07,4,3.9999979
2018-07,2,2.0000343
2018-07,2,2.0000343
2018-07,1,1.0000943
2018-07,1,1.0000943
2018-07,1,1.0000943
2018-07,2,2.0000343
2018-07,4,3.9999979
2018-07,4,3.9999979
2018-07,1,1.0000943
2018-07,1,1.0000943
2018-07,1,1.0000943
2018-07,2,2.0000343
2018-07,2,2.0000343
2018-07,1,1.0000943
2018-07,5,4.9999757
2018-08,4,3.9999979
2018-08,10,9.99978
2018-08,1,1.0000943
2018-08,3,3.0000074
2018-08,5,4.9999757
2018-08,1,1.0000943
2018-08,1,1.0000943
2018-08,1,1.0000943
2018-08,3,3.0000074
2018-08,3,3.0000074
2018-08,1,1.0000943
2018-08,4,3.9999979
2018-08,3,3.0000074
2018-08,9,8.999813
2018-08,5,4.9999757
2018-08,4,3.9999979
2018-08,4,3.9999979
2018-08,1,1.0000943
2018-08,1,1.0000943
2018-08,4,3.9999979
2018-08,1,1.0000943
2018-09,4,3.9999979
2018-09,1,1.0000943
2018-09,2,2.0000343
2018-09,5,4.9999757
2018-09,3,3.0000074
2018-09,1,1.0000943
2018-09,2,2.0000343
2018-09,2,2.0000343
2018-09,1,1.0000943
2018-09,1,1.0000943
2018-10,3,3.0000074
2018-10,5,4.9999757
2018-10,2,2.0000343
2018-10,4,3.9999979
2018-10,1,1.0000943
2018-10,1,1.0000943
2018-10,2,2.0000343
2018-11,1,1.0000943
2018-11,2,2.0000343
2018-11,3,3.0000074
2018-11,1,1.0000943
2018-11,1,1.0000943
2018-12,2,2.0000343
2019-01,2,2.0000343
2019-03,1,1.0000943
2019-03,3,3.0000074
2019-03,2,2.0000343
2019-03,3,3.0000074
2019-03,2,2.0000343
2019-03,1,1.0000943
2019-03,2,2.0000343
2019-03,1,1.0000943
2019-03,1,1.0000943
2019-03,1,1.0000943
2019-03,4,3.9999979
2019-04,2,2.0000343
2019-04,2,2.0000343
2019-04,1,1.0000943
2019-04,1,1.0000943
2019-04,3,3.0000074
2019-04,4,3.9999979
2019-04,4,3.9999979
2019-04,2,2.0000343
2019-04,2,2.0000343
2019-04,1,1.0000943
2019-04,1,1.0000943
2019-04,2,2.0000343
2019-04,1,1.0000943
2019-04,1,1.0000943
2019-05,2,2.0000343
2019-05,2,2.0000343
2019-05,2,2.0000343
2019-05,2,2.0000343
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-05,2,2.0000343
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-05,1,1.0000943
2019-06,8,7.9998355
2019-06,2,2.0000343
2019-06,12,11.999688
2019-06,9,8.999813
2019-06,1,1.0000943
2019-06,5,4.9999757
2019-06,2,2.0000343
2019-06,1,1.0000943
2019-06,12,11.999688
2019-06,4,3.9999979
2019-06,2,2.0000343
2019-06,3,3.0000074
2019-06,10,9.99978
2019-06,6,5.9999456
2019-06,8,7.9998355
2019-06,8,7.9998355
2019-06,2,2.0000343
2019-06,4,3.9999979
2019-06,1,1.0000943
2019-06,2,2.0000343
2019-06,8,7.9998355
2019-06,2,2.0000343
2019-06,7,6.9998827
2019-06,4,3.9999979
2019-06,5,4.9999757
2019-06,4,3.9999979
2019-06,3,3.0000074
2019-07,21,20.974018
2019-07,5,4.9999757
2019-07,1,1.0000943
2019-07,7,6.9998827
2019-07,9,8.999813
2019-07,24,23.886995
2019-07,11,10.999747
2019-07,9,8.999813
2019-07,4,3.9999979
2019-07,3,3.0000074
2019-07,4,3.9999979
2019-07,6,5.9999456
2019-07,8,7.9998355
2019-07,13,12.999597
2019-07,11,10.999747
2019-07,8,7.9998355
2019-07,3,3.0000074
2019-07,5,4.9999757
2019-07,1,1.0000943
2019-07,11,10.999747
2019-07,6,5.9999456
2019-07,7,6.9998827
2019-07,13,12.999597
2019-07,15,14.999403
2019-07,9,8.999813
2019-07,12,11.999688
